#ID               Station ID
#LAT              Latitude (NAD27, decimal degrees)
#LONG             Longitude (NAD27, decimal degrees)
#UTM10x_NAD83     Easting (NAD83 Zone 10N, meters)
#UTM10y_NAD83     Northing (NAD83 Zone 10N, meters)
#ELEV_m           Elevation (NGVD29, meters)
#CBA              Complete Bouger Anomaly (mGal)
#ISO              Isostatic Anomaly (mGal)
#OG               Observed Gravity (mGal)
#FTC              Field Terrain Correction (calculated out to 68m from station, mGal)
#TTC              Total Terrain Correction (calculated from 68m to 166.7km from station, mGal)

ID,LAT,LONG,UTM10x_NAD83,UTM10y_NAD83,ELEV_M,CBA,ISO,OG,FTC,TTC
19GY2603,39.20059283,-122.72720717,523461.632,4339057.967,668.850,-49.462,-6.062,979912.692,0.060,5.090
19GY2604,39.20975650,-122.74421483,521990.163,4340070.608,809.640,-49.162,-5.332,979887.498,0.040,3.850
19GY2605,39.23041383,-122.77723533,519133.600,4342355.499,763.150,-52.584,-7.614,979894.964,0.020,3.890
19GY2606,39.22132367,-122.76350917,520320.976,4341349.733,712.260,-50.937,-6.397,979905.642,0.060,4.010
19GY2607,39.17551850,-122.69416517,526324.173,4336284.496,636.030,-47.154,-5.214,979919.889,0.040,4.400
19GY2608,39.16692483,-122.67976067,527571.802,4335335.127,611.130,-47.438,-6.068,979921.404,0.050,6.710
19GY2609,39.16023283,-122.66343133,528985.259,4334597.604,568.240,-48.274,-7.404,979926.123,0.090,8.950
19GY2610,39.16517133,-122.62684083,532144.383,4335158.008,485.920,-49.443,-9.093,979943.838,0.080,6.600
19GY2611,39.15798450,-122.59357217,535022.132,4334372.815,455.790,-51.366,-12.126,979947.778,0.030,5.990
19GY2612,39.16850317,-122.53264883,540280.005,4335565.450,457.060,-54.410,-16.880,979948.637,0.050,2.770
19GY2613,39.16586967,-122.49481833,543549.774,4335290.720,588.410,-53.151,-17.231,979924.330,0.050,2.420
19GY2614,39.14453733,-122.47473450,545298.567,4332933.259,722.940,-53.301,-18.691,979895.187,0.040,3.210
19GY2615,39.11730983,-122.49667967,543418.851,4329901.007,979.140,-47.950,-13.270,979842.926,0.070,8.270
19GY2616,39.00676083,-122.60571267,534045.978,4317586.701,492.760,-36.095,-1.805,979946.957,0.030,1.470
19GY2617,39.00046717,-122.64916417,530286.364,4316872.897,629.910,-38.453,-4.033,979914.332,0.050,4.360
19GY2618,38.99218700,-122.63254317,531729.351,4315959.728,460.440,-31.160,2.950,979956.441,0.050,1.950
19GY2619,38.99080700,-122.60959083,533717.774,4315814.862,470.410,-37.871,-4.061,979948.709,0.030,0.900
19GY2620,38.88526800,-122.46748383,546093.500,4304165.677,728.950,-35.017,-6.667,979890.249,0.020,2.320
19GY2621,38.88693133,-122.49905850,543353.871,4304334.748,624.450,-35.031,-6.101,979910.533,0.050,2.610
19GY2622,38.91046083,-122.62194117,532685.147,4306894.438,429.280,-36.408,-5.318,979951.058,0.020,0.950
19GY2623,38.91075267,-122.61079183,533651.697,4306930.889,415.700,-36.148,-5.108,979953.989,0.020,0.960
19GY2624,38.92499483,-122.59530267,534987.646,4308517.159,421.210,-37.502,-6.082,979952.967,0.010,0.810
19GY4001,38.98518317,-122.67533433,528026.235,4315168.434,411.270,-33.512,0.638,979963.442,0.050,1.590
19GY4002,38.99900367,-122.67185800,528321.802,4316703.166,405.320,-37.567,-2.887,979961.362,0.030,2.000
19GY4003,39.01002250,-122.64857567,530333.232,4317933.446,434.440,-38.559,-3.659,979955.973,0.030,1.680
19GY4004,39.02076783,-122.64783567,530392.689,4319126.102,411.860,-39.464,-4.164,979960.312,0.000,1.800
19GY4005,39.01298267,-122.62911483,532016.858,4318268.621,482.750,-39.086,-4.286,979946.483,0.000,1.460
19GY4006,39.02618983,-122.63396283,531591.229,4319732.521,629.610,-39.560,-4.330,979917.330,0.070,2.590
19GY4007,39.01784800,-122.59800117,534708.255,4318819.964,492.020,-39.388,-4.838,979944.219,0.020,2.040
19GY4008,39.04097050,-122.58490467,535830.350,4321390.965,465.120,-47.647,-12.507,979944.065,0.000,1.240
