Numero ^ Tunnus ^ Osasto ^ Vuosi ^ Reikanro ^ Kl100 ^ Yht_X ^ Yht_Y ^ Kkj_X ^ Kkj_y ^ Z ^ Syvyys ^ Kaltevuus ^ Suunta
int ^ char ^ char ^ int ^ char ^ char ^ int ^ int ^ int ^ int ^ real ^ real ^ real ^ real
84 ^ M371487R310    ^ M ^ 87 ^ 310    ^ 3714 ^ 7511400 ^ 3499002 ^ 7511400 ^ 3499001 ^ 237.00 ^ 70.00 ^ 44.40 ^ 90.00
85 ^ M371487R310    ^ M ^ 87 ^ 310    ^ 3714 ^ 7511400 ^ 3499002 ^ 7511400 ^ 3499001 ^ 237.00 ^ 80.00 ^ 44.30 ^ 90.00
86 ^ M371487R310    ^ M ^ 87 ^ 310    ^ 3714 ^ 7511400 ^ 3499002 ^ 7511400 ^ 3499001 ^ 237.00 ^ 90.00 ^ 44.20 ^ 90.00
87 ^ M371487R310    ^ M ^ 87 ^ 310    ^ 3714 ^ 7511400 ^ 3499002 ^ 7511400 ^ 3499001 ^ 237.00 ^ 100.00 ^ 44.20 ^ 90.00
88 ^ M371487R310    ^ M ^ 87 ^ 310    ^ 3714 ^ 7511400 ^ 3499002 ^ 7511400 ^ 3499001 ^ 237.00 ^ 110.00 ^ 44.10 ^ 90.00
89 ^ M371487R310    ^ M ^ 87 ^ 310    ^ 3714 ^ 7511400 ^ 3499002 ^ 7511400 ^ 3499001 ^ 237.00 ^ 120.60 ^ 44.10 ^ 90.00
90 ^ M371487R311    ^ M ^ 87 ^ 311    ^ 3714 ^ 7511400 ^ 3499051 ^ 7511400 ^ 3499050 ^ 234.00 ^ 0.00 ^ 45.70 ^ 90.00
91 ^ M371487R311    ^ M ^ 87 ^ 311    ^ 3714 ^ 7511400 ^ 3499051 ^ 7511400 ^ 3499050 ^ 234.00 ^ 10.00 ^ 45.40 ^ 90.00
92 ^ M371487R311    ^ M ^ 87 ^ 311    ^ 3714 ^ 7511400 ^ 3499051 ^ 7511400 ^ 3499050 ^ 234.00 ^ 20.00 ^ 44.90 ^ 90.00
93 ^ M371487R311    ^ M ^ 87 ^ 311    ^ 3714 ^ 7511400 ^ 3499051 ^ 7511400 ^ 3499050 ^ 234.00 ^ 30.00 ^ 44.60 ^ 90.00
94 ^ M371487R311    ^ M ^ 87 ^ 311    ^ 3714 ^ 7511400 ^ 3499051 ^ 7511400 ^ 3499050 ^ 234.00 ^ 40.00 ^ 44.40 ^ 90.00
